Name,Position X,Position Y,Position Z
Point01,2.011851,35.827492,-1.37558
Point02,-13.259419,-32.780883,-3.836566
Point03,14.921192,-31.074052,-4.358768
Point04,-13.518025,-16.634552,-5.125922
Point05,15.422675,-16.267034,-2.087354
Point06,0.999979,-28.608063,-3.608206
Point07,-7.440257,25.552523,-5.154704
Point08,-11.132622,15.019725,-5.626842
Point09,-13.36944,4.445281,-5.816673
Point10,-13.415789,-6.198653,-5.413768
Point11,-13.410784,-22.584167,-5.261825
Point12,-6.432122,-30.238584,-3.525575
Point13,7.974974,-30.2616,-3.601196
Point14,15.087835,-22.472585,-3.240917
Point15,15.354478,-6.986582,-0.618819
Point16,14.441308,3.626382,0.166046
Point17,13.181131,14.249327,0.892532
Point18,10.289198,24.912812,1.391412
Point19,1.798284,25.301418,-3.663605
Point20,1.585178,14.774497,-5.920592
Point21,1.369775,4.151929,-5.94058
Point22,1.155574,-6.420964,-7.125781
Point23,0.952346,-16.4508,-6.243893
Point24,0.97615,-22.527712,-5.054219
Point25,0.976153,-22.528154,-1.541763
Point26,0.952345,-16.450784,-0.642594
Point27,1.149024,-6.745271,0.476174
Point28,1.364219,3.873431,0.587373
Point29,1.579237,14.487834,0.797112
Point30,1.794731,25.115808,0.692816
Point31,-6.44669,-16.544752,-6.779104
Point32,8.573601,-16.354009,-5.303872
Point33,8.535167,-16.354499,-0.083293
Point34,-6.835192,-16.549688,-1.441965
