Name,Position X,Position Y,Position Z
Point01,-2.533615,27.493213,2.404772
Point02,11.115809,-24.600853,0.800389
Point03,-14.540769,-24.587373,0.35922
Point04,11.706077,-11.64958,1.062862
Point05,-14.678599,-7.966255,-0.011892
Point06,-1.715001,-24.741612,-0.152434
Point07,2.232158,20.12737,2.581632
Point08,5.735287,12.781509,1.548783
Point09,7.213585,5.317996,1.803459
Point10,9.393264,-2.102761,1.551158
Point11,9.929568,-17.518992,1.398367
Point12,4.713296,-25.317044,0.280923
Point13,-8.342425,-25.862286,-0.267384
Point14,-13.223332,-17.126715,0.569129
Point15,-13.632429,-2.666353,-0.096708
Point16,-12.529492,4.824402,0.572248
Point17,-11.552278,12.365556,0.166434
Point18,-9.157269,19.926623,0.164244
Point19,-2.32132,19.934522,3.821066
Point20,-2.10921,12.378722,5.172475
Point21,-1.899873,4.924364,4.511683
Point22,-1.689683,-2.562978,4.50809
Point23,-1.485895,-9.80809,4.049577
Point24,-1.602891,-17.419954,3.107078
Point25,-1.59936,-17.184935,-2.073852
Point26,-1.486259,-9.807914,-2.60089
Point27,-1.70064,-2.172975,-3.239457
Point28,-1.910709,5.309285,-3.133786
Point29,-2.120402,12.766529,-2.539379
Point30,-2.328116,20.18247,-1.102974
Point31,5.428848,-10.77327,3.755151
Point32,-8.542201,-8.822899,3.156545
Point33,-8.393072,-8.843723,-2.350776
Point34,5.417378,-10.771674,-1.717705
