Name,Position X,Position Y,Position Z
Point01,-0.682845,-0.200094,-32.162298
Point02,-0.715746,15.486264,30.878552
Point03,-0.100673,-15.711341,31.163224
Point04,0.232949,14.459559,13.855015
Point05,-0.689368,-15.089799,16.257142
Point06,1.003954,-0.112546,27.946108
Point07,-0.474698,2.874413,-28.795648
Point08,-0.258057,5.106944,-24.816094
Point09,-0.040308,7.474244,-20.905018
Point10,0.376228,9.354035,-16.899927
Point11,0.814282,10.247335,-12.518274
Point12,0.581407,11.207512,-8.082399
Point13,0.413281,11.350583,-3.657161
Point14,0.06141,11.963427,0.776497
Point15,0.468828,12.906814,5.13542
Point16,0.492284,12.900824,9.617014
Point17,0.273606,12.445725,18.070979
Point18,-0.112139,13.503809,22.68862
Point19,-0.335168,15.775987,26.887626
Point20,-0.063595,11.622089,31.266043
Point21,-0.181934,7.558176,30.411646
Point22,0.55886,3.925836,28.63616
Point23,0.652993,-4.144969,28.738458
Point24,0.679848,-7.995381,30.498744
Point25,0.288723,-12.021028,31.822374
Point26,0.111984,-14.787636,27.444325
Point27,-0.065169,-13.122038,23.705012
Point28,-0.833842,-13.018997,19.687914
Point29,-0.12327,-13.598553,11.830514
Point30,-0.363538,-13.023235,7.097015
Point31,-0.69298,-12.612923,2.321085
Point32,-0.668297,-12.507919,-2.500433
Point33,-0.791919,-12.261173,-7.285837
Point34,-0.915267,-11.749404,-12.04973
Point35,-1.020443,-10.90254,-16.802909
Point36,-1.143631,-8.836855,-21.097093
Point37,-1.324525,-6.664318,-25.39885
Point38,-1.02196,-3.661096,-29.138684
