Name,Position X,Position Y,Position Z
Point01,0.058287,-0.031686,-48.007994
Point02,-0.28487,10.659979,35.320559
Point03,0.759109,-12.173912,35.791336
Point04,0.857277,11.221211,15.672225
Point05,0.852831,-11.898639,17.230966
Point06,-0.095633,-0.756966,28.826153
Point07,-0.771968,2.922139,-42.74564
Point08,-0.125972,3.94825,-36.624143
Point09,-0.61034,5.05269,-30.470984
Point10,-0.821463,6.207549,-24.62942
Point11,-0.466635,6.611372,-18.534815
Point12,-0.332833,6.748296,-12.643686
Point13,-0.410247,7.276121,-6.983408
Point14,-0.637451,7.471607,-1.112008
Point15,-0.197586,8.041036,4.883353
Point16,0.57242,9.145442,10.406877
Point17,0.624947,11.050109,20.621357
Point18,0.513163,10.971092,25.66796
Point19,0.52961,11.406436,30.687314
Point20,-0.436469,7.651242,34.225552
Point21,-0.073464,4.914243,32.219165
Point22,0.051872,2.42176,29.975081
Point23,-0.156387,-4.038132,30.358814
Point24,0.302081,-5.830272,33.606028
Point25,0.483495,-8.772041,35.908468
Point26,0.932295,-12.153188,31.19878
Point27,0.984104,-11.763308,26.589904
Point28,0.881295,-11.570786,21.916215
Point29,1.319358,-11.945559,12.527688
Point30,1.722055,-8.67212,7.134091
Point31,1.587084,-8.507311,1.224194
Point32,1.768487,-8.400454,-4.690494
Point33,1.983647,-6.98814,-10.839971
Point34,2.710539,-6.49863,-17.136407
Point35,2.735905,-5.328683,-23.270801
Point36,2.463055,-5.147788,-29.741324
Point37,1.84125,-4.308361,-36.155681
Point38,0.707554,-3.058498,-42.527663
