Name,Position X,Position Y,Position Z
Point01,-0.424275,1.130807,26.793657
Point02,-0.252626,-11.706056,-18.137202
Point03,0.321565,14.458945,-15.13411
Point04,0.161814,-12.587213,-6.908413
Point05,0.86462,11.986775,-5.79678
Point06,0.255556,1.376139,-17.149636
Point07,-0.253536,-1.111242,24.141296
Point08,-0.012364,-3.479836,21.584135
Point09,0.148386,-5.297653,18.68569
Point10,0.126799,-6.888457,15.662558
Point11,0.176438,-7.529104,12.255799
Point12,0.441987,-8.304261,8.95132
Point13,0.505124,-9.812453,5.836743
Point14,0.641226,-10.197561,2.652597
Point15,0.385431,-10.952691,-0.503046
Point16,0.291982,-11.369267,-3.7442
Point17,0.043945,-11.850683,-9.700544
Point18,-0.253596,-11.635853,-12.636728
Point19,-0.171543,-12.082256,-15.518366
Point20,-0.243757,-8.4709,-18.465307
Point21,0.25748,-5.202867,-17.881043
Point22,0.292014,-1.954414,-17.47068
Point23,0.234138,5.054227,-16.794624
Point24,-0.148965,8.725334,-17.414427
Point25,-0.617067,12.16617,-17.590101
Point26,0.122207,13.268458,-12.936846
Point27,-0.354363,12.758083,-10.539226
Point28,-0.056181,12.706791,-8.033291
Point29,0.480763,10.341248,-3.03979
Point30,-0.011338,9.403009,-0.140133
Point31,-0.433972,8.668538,2.928717
Point32,-0.680614,8.266394,6.149023
Point33,-0.858616,8.716496,9.343464
Point34,-0.777016,8.297486,12.54455
Point35,-0.81014,7.365988,15.682895
Point36,-1.312974,6.293109,18.718198
Point37,-0.691831,5.200818,21.731747
Point38,-0.886541,3.333315,24.405336
