Name,Position X,Position Y,Position Z
Point01,-2.503655,24.254877,-3.031178
Point02,12.805421,-19.597311,-2.186874
Point03,-12.380299,-20.135447,-2.151111
Point04,12.947547,-8.32303,-2.01429
Point05,-12.186707,-10.075044,-1.7813
Point06,0.215015,-19.543953,-1.620044
Point07,3.403134,18.025202,-2.585236
Point08,6.559453,11.538662,-2.716014
Point09,8.977277,5.008992,-2.223736
Point10,11.114032,-1.547998,-1.829603
Point11,12.270971,-14.566305,-2.354355
Point12,-12.1206,-14.146986,-1.966415
Point13,-9.45734,-3.339643,-2.164532
Point14,-8.590729,3.45791,-3.118843
Point15,-8.848129,10.187822,-3.225673
Point16,-6.94711,17.101783,-3.404041
Point17,-1.929511,17.622037,-0.895945
Point18,-1.351508,10.942608,-0.138278
Point19,-0.773483,4.265152,0.68063
Point20,-0.190913,-2.464339,-0.023299
Point21,0.389249,-9.167987,0.290966
Point22,0.302854,-14.310256,-0.186995
Point23,0.301478,-14.394657,-3.511442
Point24,0.389168,-9.167871,-4.56072
Point25,-0.177396,-2.62161,-4.635388
Point26,-0.757187,4.077363,-4.817039
Point27,-1.339011,10.800034,-4.319017
Point28,-1.919571,17.50621,-4.298413
Point29,6.950003,-8.726556,-0.067107
Point30,-6.154972,-9.608278,0.109934
Point31,-6.229854,-9.61331,-4.298107
Point32,7.002668,-8.723006,-4.312156
