Name,Position X,Position Y,Position Z
Point01,-3.394819,54.724491,-2.911772
Point02,-17.027884,-46.911051,-2.905518
Point03,14.239531,-47.960097,-2.943407
Point04,-17.462227,-34.006496,-2.659429
Point05,14.052845,-31.789358,-2.437207
Point06,-1.389997,-47.508103,-2.525868
Point07,-13.283444,36.988809,-3.916103
Point08,-15.343437,19.410344,-3.422822
Point09,-15.878188,1.859997,-3.24315
Point10,-16.6399,-15.693875,-2.858152
Point11,-14.528702,-40.514435,-2.140853
Point12,11.871751,-39.94798,-3.568546
Point13,13.328786,-15.115535,-2.790354
Point14,12.451948,2.410942,-2.160263
Point15,10.030986,19.9058,-1.972739
Point16,6.533833,37.376596,-2.581439
Point17,-3.056261,37.172548,-7.178234
Point18,-2.718033,19.638437,-7.146706
Point19,-2.379821,2.103908,-7.211681
Point20,-2.041604,-15.428181,-6.681837
Point21,-1.704775,-32.89775,-6.210523
Point22,-1.546551,-40.239646,-5.293196
Point23,-1.54678,-40.232432,-0.653595
Point24,-1.704752,-32.897866,0.38553
Point25,-2.042288,-15.397191,0.845193
Point26,-2.380502,2.138673,1.173977
Point27,-2.718674,19.67089,0.682989
Point28,-3.056661,37.202488,0.007217
Point29,-10.076921,-33.486933,-6.015114
Point30,6.680521,-32.30802,-6.14291
Point31,6.551574,-32.317081,0.428945
Point32,-9.928307,-33.476468,0.402893
