Name,Position X,Position Y,Position Z
Point01,-2.512017,31.122796,-1.17891
Point02,-1.254575,-21.146797,-1.861334
Point03,-2.283312,22.570284,0.747438
Point04,-2.055038,14.033741,1.303355
Point05,-1.826837,5.498548,1.747019
Point06,-1.598961,-3.027912,1.449155
Point07,-1.366729,-11.7123,0.578082
Point08,-1.309689,-16.497736,-0.28705
Point09,-1.310483,-16.439901,-3.308461
Point10,-1.366632,-11.712376,-4.16535
Point11,-1.600741,-2.956791,-4.633881
Point12,-1.828838,5.572812,-4.59998
Point13,-2.056714,14.094841,-3.919668
Point14,-2.284635,22.618917,-3.41232
