Name,Position X,Position Y,Position Z
Point01,2.011851,35.827492,-1.37558
Point02,0.999979,-28.608063,-3.608206
Point03,1.798284,25.301418,-3.663605
Point04,1.585178,14.774497,-5.920592
Point05,1.369775,4.151929,-5.94058
Point06,1.155574,-6.420964,-7.125781
Point07,0.952346,-16.4508,-6.243893
Point08,0.97615,-22.527712,-5.054219
Point09,0.976153,-22.528154,-1.541763
Point10,0.952345,-16.450784,-0.642594
Point11,1.149024,-6.745271,0.476174
Point12,1.364219,3.873431,0.587373
Point13,1.579237,14.487834,0.797112
Point14,1.794731,25.115808,0.692816
