Name,Position X,Position Y,Position Z
Point01,-2.533615,27.493213,2.404772
Point02,-1.715001,-24.741612,-0.152434
Point03,-2.32132,19.934522,3.821066
Point04,-2.10921,12.378722,5.172475
Point05,-1.899873,4.924364,4.511683
Point06,-1.689683,-2.562978,4.50809
Point07,-1.485895,-9.80809,4.049577
Point08,-1.602891,-17.419954,3.107078
Point09,-1.59936,-17.184935,-2.073852
Point10,-1.486259,-9.807914,-2.60089
Point11,-1.70064,-2.172975,-3.239457
Point12,-1.910709,5.309285,-3.133786
Point13,-2.120402,12.766529,-2.539379
Point14,-2.328116,20.18247,-1.102974
