Name,Position X,Position Y,Position Z
Point01,-1.660206,36.291083,-0.208824
Point02,0.02182,-32.113485,-0.528893
Point03,-1.29944,24.942809,2.077683
Point04,-0.938368,13.587154,2.386596
Point05,-0.577301,2.230319,2.362442
Point06,-0.216152,-9.128438,1.816135
Point07,0.145137,-20.493675,2.744684
Point08,0.082913,-26.358801,1.973075
Point09,0.085483,-26.116069,-3.353199
Point10,0.145155,-20.49364,-3.161245
Point11,-0.215773,-9.146232,-3.004965
Point12,-0.576688,2.211681,-2.689097
Point13,-0.937886,13.568601,-2.641823
Point14,-1.29892,24.92493,-2.756356
