Name,Position X,Position Y,Position Z
Point01,0.48284,24.545203,3.543085
Point02,0.759981,-20.067463,2.791905
Point03,0.521338,17.926197,1.14806
Point04,0.559876,11.295697,0.137307
Point05,0.598348,4.663339,-0.641791
Point06,0.636938,-1.973168,-0.933419
Point07,0.675984,-8.734211,-0.33561
Point08,0.716971,-14.24489,0.050362
Point09,0.718476,-14.453492,5.012126
Point10,0.676195,-8.734715,5.562101
Point11,0.637215,-2.029488,5.860018
Point12,0.598697,4.60534,6.35858
Point13,0.560075,11.241743,6.652912
Point14,0.521693,17.888235,5.769806
