Name,Position X,Position Y,Position Z
Point01,5.763276,55.859088,1.448761
Point02,3.035032,-45.820959,3.346578
Point03,4.980185,37.327448,-1.780927
Point04,4.200732,18.880101,-1.049221
Point05,3.420827,0.423108,-0.776024
Point06,2.640905,-18.036562,-0.612202
Point07,1.860273,-36.509513,0.176174
Point08,2.44235,-41.123218,0.650263
Point09,2.447054,-41.162674,6.045483
Point10,1.860329,-36.509478,6.504895
Point11,2.647299,-17.884645,6.531
Point12,3.4273,0.577047,6.462928
Point13,4.207159,19.032593,6.123726
Point14,4.986727,37.480408,5.413046
