Name,Position X,Position Y,Position Z
Point01,2.997872,49.513939,5.248619
Point02,4.285174,-38.598557,3.598239
Point03,3.303654,35.700748,7.057189
Point04,3.609059,21.902034,7.751584
Point05,3.914483,8.109439,7.971306
Point06,4.219823,-5.681386,8.056698
Point07,4.525297,-19.484785,7.947077
Point08,4.405541,-29.007094,7.183032
Point09,4.408712,-28.764214,1.009907
Point10,4.525308,-19.484597,-0.071457
Point11,4.217123,-5.567287,-0.678596
Point12,3.912097,8.211561,0.119689
Point13,3.60713,21.991103,0.908768
Point14,3.302324,35.760473,2.464656
