Name,Position X,Position Y,Position Z
Point01,-1.868193,28.124226,0.268402
Point02,-0.614994,-23.92769,2.728475
Point03,-1.809579,20.946458,-1.572114
Point04,-1.751531,13.804942,-2.755715
Point05,-1.693806,6.730339,-2.711543
Point06,-1.636352,-0.33477,-2.490327
Point07,-1.579654,-7.159135,-2.358949
Point08,-1.089031,-15.690576,-1.691984
Point09,-1.103311,-15.447077,6.039255
Point10,-1.580569,-7.159386,5.96473
Point11,-1.639288,0.082492,5.130182
Point12,-1.696836,7.106301,4.160758
Point13,-1.754501,14.193026,4.341057
Point14,-1.81206,21.245741,3.897088
