Name,Position X,Position Y,Position Z
Point01,3.934456,32.025824,-0.868201
Point02,6.099998,-22.578646,1.631707
Point03,4.09593,22.849972,-2.267369
Point04,4.254817,13.826022,-1.619192
Point05,4.414712,4.742861,-1.76609
Point06,4.575546,-4.396819,-2.678946
Point07,4.728331,-13.081347,-2.137246
Point08,5.379013,-17.586355,-1.063981
Point09,5.43567,-17.978613,3.442713
Point10,4.728463,-13.081202,4.089974
Point11,4.566165,-3.878123,4.326067
Point12,4.407524,5.12119,3.334355
Point13,4.248025,14.217413,3.662113
Point14,4.089977,23.188676,2.300734
