Name,Position X,Position Y,Position Z
Point01,-0.434994,30.120766,-0.756133
Point02,0.650025,-14.095594,0.786355
Point03,-0.279044,24.040949,1.818592
Point04,-0.121523,17.900884,2.888675
Point05,0.03581,11.76825,4.13968
Point06,0.19407,5.596503,4.411262
Point07,0.356687,-0.743215,3.418282
Point08,0.502362,-7.375249,3.086793
Point09,0.504846,-7.487273,-1.751115
Point10,0.35669,-0.743199,-1.992322
Point11,0.201103,5.320896,-2.494393
Point12,0.042607,11.501874,-2.534678
Point13,-0.116072,17.687786,-2.45235
Point14,-0.275658,23.908795,-1.491271
