Name,Position X,Position Y,Position Z
Point01,-3.386685,50.087551,1.787506
Point02,-2.34997,-36.140355,5.564461
Point03,-3.169243,34.893268,5.681299
Point04,-2.951138,19.651283,6.858221
Point05,-2.733046,4.403081,7.680552
Point06,-2.514408,-10.867376,7.23766
Point07,-2.296022,-26.127078,7.489326
Point08,-2.31974,-30.529515,6.980303
Point09,-2.327197,-31.927365,1.239697
Point10,-2.295987,-26.127169,0.021427
Point11,-2.512602,-11.001064,-0.369813
Point12,-2.731074,4.273041,0.27655
Point13,-2.949367,19.528814,-0.115833
Point14,-3.168363,34.807221,0.792019
