Name,Position X,Position Y,Position Z
Point01,-1.215339,36.684231,-3.301408
Point02,-0.148497,-21.28256,-1.987471
Point03,-1.153886,27.188803,-5.237506
Point04,-1.092448,17.739414,-5.895351
Point05,-1.031684,8.308393,-6.034037
Point06,-0.970792,-1.117289,-6.022305
Point07,-0.910321,-10.451263,-4.986105
Point08,-0.534313,-15.804467,-4.340783
Point09,-0.523661,-15.949055,-0.163832
Point10,-0.910358,-10.451276,-0.131439
Point11,-0.972158,-0.903134,-0.057822
Point12,-1.033249,8.530728,0.162292
Point13,-1.094089,17.942477,-0.232276
Point14,-1.154988,27.349743,-0.753066
