Name,Position X,Position Y,Position Z
Point01,-2.787007,23.456627,2.423274
Point02,-2.100217,-17.196856,1.938157
Point03,-2.659687,17.000092,5.637236
Point04,-2.532161,10.542721,5.146011
Point05,-2.40495,4.085604,5.920267
Point06,-2.27749,-2.371511,5.970764
Point07,-2.150939,-8.786704,4.22756
Point08,-2.125094,-13.071788,3.341712
Point09,-2.126193,-12.892698,0.276496
Point10,-2.150954,-8.786687,-0.662542
Point11,-2.277335,-2.372667,-1.234645
Point12,-2.40484,4.084323,-1.456988
Point13,-2.532245,10.541392,-2.091592
Point14,-2.659608,16.998914,-0.07624
