Name,Position X,Position Y,Position Z
Point01,0.465461,34.955113,0.006792
Point02,1.800023,-29.50831,-0.146657
Point03,0.646224,25.002484,-3.065163
Point04,0.827309,15.039776,-4.016077
Point05,1.008439,5.070359,-3.744883
Point06,1.189621,-4.897702,-3.744356
Point07,1.370857,-14.876949,-3.28528
Point08,1.585475,-22.193737,-2.356291
Point09,1.584541,-22.162279,2.090995
Point10,1.370816,-14.876922,2.971293
Point11,1.190366,-4.935697,3.516371
Point12,1.009145,5.033363,3.426482
Point13,0.827893,15.00468,2.816684
Point14,0.646727,24.977994,1.7677
