Name,Position X,Position Y,Position Z
Point01,-1.792542,20.917493,1.214534
Point02,-1.474979,-12.455018,2.320949
Point03,-1.793085,16.58969,0.000575
Point04,-1.79378,12.270642,-0.731016
Point05,-1.794303,7.948863,-1.650945
Point06,-1.794811,3.644807,-1.622641
Point07,-1.795228,-0.678627,-1.568549
Point08,-1.630528,-6.73352,-0.463294
Point09,-1.638506,-6.441569,4.499329
Point10,-1.795222,-0.678589,4.239992
Point11,-1.794578,3.751508,3.946642
Point12,-1.794148,8.058004,4.052071
Point13,-1.793592,12.351825,3.490526
Point14,-1.793213,16.638368,2.55579
