Name,Position X,Position Y,Position Z
Point01,2.781656,39.581843,3.303537
Point02,0.799972,-32.422383,3.069037
Point03,2.351853,28.241747,0.805126
Point04,1.922706,16.908525,0.20925
Point05,1.493255,5.577258,0.185468
Point06,1.063535,-5.754458,-0.136893
Point07,0.634866,-17.077979,-0.937158
Point08,0.716976,-24.693862,0.403158
Point09,0.718307,-24.831871,5.241992
Point10,0.634889,-17.077993,5.909433
Point11,1.064767,-5.732606,6.111418
Point12,1.494006,5.596569,5.560897
Point13,1.923278,16.927928,5.63357
Point14,2.352819,28.25595,4.750503
