Name,Position X,Position Y,Position Z
Point01,0.092925,0.68062,-33.143492
Point02,-1.078021,14.83253,24.369561
Point03,0.109878,-14.549168,24.988293
Point04,-0.241542,17.674479,8.859093
Point05,0.658175,-18.309974,9.449677
Point06,0.412779,0.141743,18.693556
Point07,0.161568,3.076391,-29.701669
Point08,0.1935,5.566039,-26.232088
Point09,0.152238,7.617992,-22.604388
Point10,0.133621,9.480269,-18.837094
Point11,-0.032524,10.743529,-14.813094
Point12,0.04025,12.228446,-10.885266
Point13,-0.014631,13.861506,-7.05605
Point14,0.039707,14.270641,-2.846558
Point15,-0.04343,15.74856,0.930718
Point16,-0.230091,16.236074,5.041169
Point17,0.014307,16.898912,12.743464
Point18,-0.108704,15.931871,16.64918
Point19,-0.315113,15.643948,20.641335
Point20,-0.083655,10.932106,24.082711
Point21,0.932952,7.647064,21.712116
Point22,0.76063,4.204612,19.408473
Point23,-0.340859,-3.515155,20.356514
Point24,-0.265788,-6.926146,22.385043
Point25,-0.138848,-10.637372,24.076452
Point26,0.584657,-15.710989,21.309025
Point27,1.40932,-15.840633,17.194358
Point28,1.021235,-17.471467,13.384577
Point29,-0.093805,-16.616986,5.536073
Point30,-0.716874,-15.572989,1.433292
Point31,-1.042146,-14.358353,-2.781292
Point32,-1.349752,-13.29633,-7.058271
Point33,-0.970751,-12.672364,-11.369772
Point34,-0.96927,-11.345042,-15.567084
Point35,-0.887259,-9.900436,-19.704928
Point36,-0.816672,-7.726319,-23.559297
Point37,-0.423272,-5.30559,-27.211434
Point38,-0.527598,-2.452014,-30.558029
