Name,Position X,Position Y,Position Z
Point01,-2.088153,1.729913,37.53592
Point02,-3.242265,-12.15699,-31.494248
Point03,1.353,15.223958,-29.452926
Point04,-1.728465,-13.294163,-17.960562
Point05,-0.490966,15.944948,-14.572955
Point06,-1.235969,1.533442,-26.970724
Point07,-0.619603,-2.660945,34.565387
Point08,-0.013323,-6.118314,30.276278
Point09,0.439366,-8.38654,25.302676
Point10,0.218529,-10.524152,20.31735
Point11,0.059735,-11.794145,14.974881
Point12,-0.345322,-12.849219,9.673294
Point13,-0.623469,-13.441149,4.192672
Point14,-1.008641,-13.997074,-1.246131
Point15,-1.110494,-13.297051,-6.763386
Point16,-1.445061,-13.254853,-12.360746
Point17,-1.600965,-12.961721,-21.477775
Point18,-2.559001,-13.20066,-24.887599
Point19,-2.849901,-13.144511,-28.429549
Point20,-2.388043,-8.788638,-30.699971
Point21,-2.452567,-5.596084,-28.718482
Point22,-2.060345,-2.088641,-27.40985
Point23,-0.633038,5.009304,-27.246203
Point24,-0.436873,8.394894,-28.408855
Point25,0.082383,11.837214,-29.452333
Point26,0.791606,16.131682,-25.920533
Point27,0.681016,15.717541,-22.091343
Point28,0.194114,15.762665,-18.302409
Point29,-1.14135,15.814665,-9.420431
Point30,-1.705681,15.892144,-4.268409
Point31,-2.272083,15.325938,0.836915
Point32,-2.493428,14.969106,5.92943
Point33,-2.781625,15.069653,10.991821
Point34,-2.938526,13.70329,15.896343
Point35,-3.36544,12.264404,20.807286
Point36,-3.724085,10.795142,25.660193
Point37,-4.073078,8.858019,30.395242
Point38,-2.878546,5.546903,34.107718
