Name,Position X,Position Y,Position Z
Point01,-1.879119,41.691849,0.107889
Point02,10.621906,-37.102912,1.965544
Point03,-10.130547,-37.660297,2.543028
Point04,11.726285,-24.041699,1.661183
Point05,-11.32326,-25.6243,1.806148
Point06,0.250527,-32.256242,2.842182
Point07,2.054706,28.435352,-1.509454
Point08,5.237388,15.189248,-1.740228
Point09,6.769343,1.927487,-0.49909
Point10,9.057978,-11.303128,1.048112
Point11,12.552037,-28.526447,2.446411
Point12,6.102242,-33.608765,2.493695
Point13,-5.070035,-35.450599,2.922556
Point14,-11.386294,-28.808285,1.617525
Point15,-9.531608,-11.8638,1.896578
Point16,-7.605679,1.512429,0.914061
Point17,-6.484865,14.892,1.098609
Point18,-4.44317,28.29913,1.232353
Point19,-1.46383,28.410223,1.962325
Point20,-1.047853,15.113847,3.217339
Point21,-0.631115,1.789911,3.341604
Point22,-0.215199,-11.509424,4.474311
Point23,0.201511,-24.832994,3.338648
Point24,0.225441,-28.459477,3.439605
Point25,0.227902,-28.819946,1.02654
Point26,0.201483,-24.833078,-0.065499
Point27,-0.210353,-11.660879,-1.724983
Point28,-0.626484,1.641204,-2.74847
Point29,-1.043031,14.964707,-2.882662
Point30,-1.461152,28.320706,-1.707025
Point31,6.276072,-24.415915,4.327038
Point32,-5.752951,-25.241838,3.468852
Point33,-6.077965,-25.264154,-0.332832
Point34,6.151291,-24.424483,0.004404
