Name,Position X,Position Y,Position Z
Point01,0.149672,-0.636937,27.968719
Point02,0.286561,-12.979364,-22.252223
Point03,-0.857111,18.178452,-17.121724
Point04,-0.787967,-13.410628,-4.580116
Point05,-0.238398,15.444509,-5.452983
Point06,-0.732005,2.59963,-14.664993
Point07,1.069876,-2.646181,25.704472
Point08,0.976728,-4.737395,23.126863
Point09,1.331232,-6.020286,20.092466
Point10,1.614008,-6.766241,16.869822
Point11,1.262037,-7.918492,13.938525
Point12,1.265709,-8.381646,10.694322
Point13,0.716848,-9.269475,7.558109
Point14,-0.37122,-9.726113,4.518153
Point15,0.241341,-10.649739,1.38618
Point16,-0.300393,-11.962396,-1.624543
Point17,0.16058,-13.639983,-9.20015
Point18,-0.821845,-13.899342,-13.79857
Point19,-0.299618,-14.838235,-18.302095
Point20,-0.237313,-8.936459,-20.454684
Point21,-0.455715,-5.730395,-17.202315
Point22,-0.89518,-1.909815,-15.20942
Point23,-1.210432,6.63602,-16.001396
Point24,-1.181749,10.790771,-17.576143
Point25,-1.880882,14.57163,-18.953353
Point26,-1.455898,17.149801,-14.337031
Point27,-1.076714,17.007832,-11.264123
Point28,-0.675535,16.054667,-8.402326
Point29,-0.451117,13.590087,-2.383872
Point30,-0.018126,13.749259,1.089077
Point31,-0.049138,13.334614,4.629881
Point32,0.119821,12.037562,7.829019
Point33,-0.38517,11.730963,11.357853
Point34,-0.478782,10.336123,14.672671
Point35,-1.195468,8.194291,17.47669
Point36,-1.363273,6.101429,20.193877
Point37,-1.243375,4.098739,23.144828
Point38,-0.619655,1.948849,25.95404
