Name,Position X,Position Y,Position Z
Point01,5.763276,55.859088,1.448761
Point02,-10.726692,-51.653244,4.057668
Point03,16.800371,-51.406382,3.634518
Point04,-15.098925,-37.078191,4.152497
Point05,18.819484,-35.940828,2.679903
Point06,3.035032,-45.820959,3.346578
Point07,-3.426786,37.748366,1.301289
Point08,-7.031959,19.439589,2.934689
Point09,-10.605551,1.100053,3.186668
Point10,-14.401991,-17.240401,2.95343
Point11,-10.310522,-42.76089,4.494476
Point12,-4.248044,-48.442703,3.822785
Point13,10.391369,-48.002315,3.630911
Point14,16.34411,-39.380165,2.097956
Point15,20.351783,-18.69925,3.406816
Point16,18.78,-0.143529,3.097097
Point17,17.649214,18.40022,3.100144
Point18,13.760164,37.058792,3.022116
Point19,4.980185,37.327448,-1.780927
Point20,4.200732,18.880101,-1.049221
Point21,3.420827,0.423108,-0.776024
Point22,2.640905,-18.036562,-0.612202
Point23,1.860273,-36.509513,0.176174
Point24,2.44235,-41.123218,0.650263
Point25,2.447054,-41.162674,6.045483
Point26,1.860329,-36.509478,6.504895
Point27,2.647299,-17.884645,6.531
Point28,3.4273,0.577047,6.462928
Point29,4.207159,19.032593,6.123726
Point30,4.986727,37.480408,5.413046
Point31,-6.998361,-36.806562,1.377615
Point32,10.966705,-36.204152,-0.470893
Point33,10.922384,-36.205633,6.709403
Point34,-7.012712,-36.807039,6.582211
