Name,Position X,Position Y,Position Z
Point01,2.997872,49.513939,5.248619
Point02,19.65101,-43.149303,3.76008
Point03,-11.075297,-43.591928,3.803769
Point04,19.113829,-19.317725,4.130601
Point05,-10.063231,-19.651829,4.570887
Point06,4.285174,-38.598557,3.598239
Point07,9.207253,35.847867,5.794297
Point08,12.146711,22.123918,5.22498
Point09,13.857092,8.360038,5.633419
Point10,17.40481,-5.342458,4.450285
Point11,18.508829,-29.056322,3.930631
Point12,11.964642,-41.300971,3.534711
Point13,-3.679736,-42.194639,3.566213
Point14,-9.33829,-28.718704,4.241086
Point15,-7.732613,-5.893009,3.995548
Point16,-6.116658,7.949614,3.194658
Point17,-4.098151,21.78942,3.295032
Point18,-2.399838,35.613539,4.056181
Point19,3.303654,35.700748,7.057189
Point20,3.609059,21.902034,7.751584
Point21,3.914483,8.109439,7.971306
Point22,4.219823,-5.681386,8.056698
Point23,4.525297,-19.484785,7.947077
Point24,4.405541,-29.007094,7.183032
Point25,4.408712,-28.764214,1.009907
Point26,4.525308,-19.484597,-0.071457
Point27,4.217123,-5.567287,-0.678596
Point28,3.912097,8.211561,0.119689
Point29,3.60713,21.991103,0.908768
Point30,3.302324,35.760473,2.464656
Point31,12.126907,-19.397738,7.018282
Point32,-3.029356,-19.571291,7.458861
Point33,-3.115248,-19.572262,1.411365
Point34,12.167128,-19.397264,1.127381
