Name,Position X,Position Y,Position Z
Point01,-2.121419,29.364764,1.818019
Point02,10.831033,-24.834383,1.379096
Point03,-15.796605,-24.241128,2.064847
Point04,10.979277,-11.317802,1.488845
Point05,-15.590649,-12.990943,1.927599
Point06,-2.480027,-22.892828,1.510627
Point07,2.683987,21.03741,1.633269
Point08,3.692197,12.727481,1.231979
Point09,5.191755,4.414087,1.316268
Point10,7.969278,-3.905923,1.757768
Point11,11.35753,-17.756598,0.685765
Point12,4.330917,-23.446282,0.182134
Point13,-9.863978,-25.994178,1.606021
Point14,-15.223631,-17.336101,1.269414
Point15,-13.253741,-3.810603,1.330591
Point16,-11.603635,4.491728,0.143753
Point17,-10.972441,12.793382,0.922697
Point18,-10.108896,16.941981,1.235123
Point19,-2.157827,21.052584,4.199076
Point20,-2.19524,12.744035,4.869617
Point21,-2.231963,4.438705,4.459153
Point22,-2.268933,-3.86692,4.140961
Point23,-2.305651,-12.15433,3.601021
Point24,-2.393954,-17.592663,3.919013
Point25,-2.392719,-17.515366,-0.293044
Point26,-2.305681,-12.154379,-1.775623
Point27,-2.268822,-3.848714,-2.695417
Point28,-2.232038,4.457853,-2.768282
Point29,-2.195066,12.76243,-2.08264
Point30,-2.157806,21.066045,-0.996291
Point31,4.678219,-11.714592,3.992458
Point32,-9.370458,-12.599255,4.375608
Point33,-9.483347,-12.606352,-1.536761
Point34,4.883667,-11.701644,-1.437357
