Name,Position X,Position Y,Position Z
Point01,3.934456,32.025824,-0.868201
Point02,-2.792509,-28.055513,1.659814
Point03,14.983162,-26.773032,1.827473
Point04,-7.231245,-12.640778,2.589408
Point05,16.688162,-13.521636,2.363719
Point06,6.099998,-22.578646,1.631707
Point07,0.702868,22.883998,-1.003283
Point08,-0.052597,13.868363,-0.024377
Point09,-0.40015,4.823042,0.457367
Point10,-1.875001,-4.182644,1.741213
Point11,-8.270354,-19.920833,3.026155
Point12,1.443085,-24.485433,1.752658
Point13,10.193326,-25.665428,1.861668
Point14,16.999386,-16.247576,2.756185
Point15,11.548549,-3.921355,2.078355
Point16,9.684892,5.083804,1.57991
Point17,8.29742,14.070963,0.725676
Point18,7.225162,23.091206,0.24278
Point19,4.09593,22.849972,-2.267369
Point20,4.254817,13.826022,-1.619192
Point21,4.414712,4.742861,-1.76609
Point22,4.575546,-4.396819,-2.678946
Point23,4.728331,-13.081347,-2.137246
Point24,5.379013,-17.586355,-1.063981
Point25,5.43567,-17.978613,3.442713
Point26,4.728463,-13.081202,4.089974
Point27,4.566165,-3.878123,4.326067
Point28,4.407524,5.12119,3.334355
Point29,4.248025,14.217413,3.662113
Point30,4.089977,23.188676,2.300734
Point31,-1.549013,-12.850035,-0.322109
Point32,11.425777,-13.327846,-1.146651
Point33,10.896588,-13.308354,4.055874
Point34,-1.483335,-12.85245,4.245105
