Name,Position X,Position Y,Position Z
Point01,-0.434994,30.120766,-0.756133
Point02,14.601686,-21.131735,0.146031
Point03,-13.288586,-20.45791,1.183736
Point04,12.811291,2.078133,0.536849
Point05,-12.097928,-3.564561,0.416415
Point06,0.650025,-14.095594,0.786355
Point07,4.005997,24.049015,-0.730248
Point08,6.346054,17.935518,-0.400323
Point09,8.346937,11.795403,-0.535556
Point10,10.624868,5.673699,-0.354633
Point11,13.510838,-7.128957,1.382067
Point12,7.722081,-18.740126,1.30079
Point13,-6.430317,-18.265751,1.737303
Point14,-11.557332,-7.709823,0.082991
Point15,-9.21536,5.252917,1.851803
Point16,-6.214518,11.492267,1.242876
Point17,-6.367289,17.663027,0.94193
Point18,-4.412013,23.889415,0.679949
Point19,-0.279044,24.040949,1.818592
Point20,-0.121523,17.900884,2.888675
Point21,0.03581,11.76825,4.13968
Point22,0.19407,5.596503,4.411262
Point23,0.356687,-0.743215,3.418282
Point24,0.502362,-7.375249,3.086793
Point25,0.504846,-7.487273,-1.751115
Point26,0.35669,-0.743199,-1.992322
Point27,0.201103,5.320896,-2.494393
Point28,0.042607,11.501874,-2.534678
Point29,-0.116072,17.687786,-2.45235
Point30,-0.275658,23.908795,-1.491271
Point31,6.868283,0.731863,3.446294
Point32,-6.2638,-2.242953,2.795677
Point33,-6.079512,-2.201209,-1.712875
Point34,6.800139,0.716423,-1.822815
