Name,Position X,Position Y,Position Z
Point01,-3.386685,50.087551,1.787506
Point02,13.764995,-41.759893,4.009505
Point03,-18.437966,-37.911592,3.275285
Point04,14.331594,-26.765578,4.660385
Point05,-18.923663,-25.488555,1.591978
Point06,-2.34997,-36.140355,5.564461
Point07,1.946313,34.940373,4.19532
Point08,3.99097,19.710144,4.553927
Point09,9.333363,4.498235,3.268769
Point10,11.654084,-10.737294,3.100691
Point11,14.568269,-31.231782,4.470255
Point12,5.802536,-40.797348,4.69583
Point13,-10.424773,-39.733057,4.713176
Point14,-18.781614,-31.612442,2.168905
Point15,-14.035753,-11.151143,0.469198
Point16,-9.768199,4.172717,0.298604
Point17,-7.890598,19.465578,0.310261
Point18,-6.372546,34.758548,0.621096
Point19,-3.169243,34.893268,5.681299
Point20,-2.951138,19.651283,6.858221
Point21,-2.733046,4.403081,7.680552
Point22,-2.514408,-10.867376,7.23766
Point23,-2.296022,-26.127078,7.489326
Point24,-2.31974,-30.529515,6.980303
Point25,-2.327197,-31.927365,1.239697
Point26,-2.295987,-26.127169,0.021427
Point27,-2.512602,-11.001064,-0.369813
Point28,-2.731074,4.273041,0.27655
Point29,-2.949367,19.528814,-0.115833
Point30,-3.168363,34.807221,0.792019
Point31,6.2793,-26.456374,7.307937
Point32,-11.398859,-25.777524,6.830246
Point33,-10.701289,-25.804293,0.202872
Point34,6.241135,-26.454893,1.413138
