Name,Position X,Position Y,Position Z
Point01,-1.215339,36.684231,-3.301408
Point02,-11.721376,-26.924141,-1.568667
Point03,11.422458,-26.853367,-1.66937
Point04,-12.102581,-10.06515,-0.734846
Point05,10.281822,-10.837477,-2.484843
Point06,-0.148497,-21.28256,-1.987471
Point07,-6.372319,27.277486,-1.8309
Point08,-9.129647,17.827633,-1.957381
Point09,-10.701812,8.400888,-1.714116
Point10,-11.870277,-1.015858,-1.233904
Point11,-10.395312,-16.613765,-1.014852
Point12,-5.914387,-24.847698,-1.882463
Point13,5.431228,-25.066621,-1.395104
Point14,9.290948,-15.176199,-2.52965
Point15,8.576442,-0.923086,-2.348829
Point16,7.606752,8.502991,-2.135165
Point17,5.757088,17.893516,-2.831877
Point18,3.705655,27.278339,-3.618844
Point19,-1.153886,27.188803,-5.237506
Point20,-1.092448,17.739414,-5.895351
Point21,-1.031684,8.308393,-6.034037
Point22,-0.970792,-1.117289,-6.022305
Point23,-0.910321,-10.451263,-4.986105
Point24,-0.534313,-15.804467,-4.340783
Point25,-0.523661,-15.949055,-0.163832
Point26,-0.910358,-10.451276,-0.131439
Point27,-0.972158,-0.903134,-0.057822
Point28,-1.033249,8.530728,0.162292
Point29,-1.094089,17.942477,-0.232276
Point30,-1.154988,27.349743,-0.753066
Point31,-6.840668,-10.246704,-3.731748
Point32,4.877309,-10.651008,-4.367572
Point33,4.841628,-10.649774,-0.803369
Point34,-6.556752,-10.256497,-0.073831
