Name,Position X,Position Y,Position Z
Point01,-2.787007,23.456627,2.423274
Point02,11.511179,-17.874685,2.231076
Point03,-15.754863,-18.080062,2.312671
Point04,10.790372,-9.249385,1.399068
Point05,-15.092261,-8.324033,3.45939
Point06,-2.100217,-17.196856,1.938157
Point07,2.957662,17.11016,1.998319
Point08,5.280833,10.696216,1.680041
Point09,7.162865,4.273677,1.93511
Point10,8.220754,-2.165285,1.301266
Point11,9.214398,-12.908353,1.714553
Point12,5.027754,-18.549315,1.883837
Point13,-8.98682,-19.082869,1.464595
Point14,-14.283194,-13.109153,2.724783
Point15,-13.058255,-2.584748,2.960993
Point16,-11.737344,3.901004,2.85811
Point17,-10.731985,10.380516,2.671851
Point18,-8.659481,16.881092,2.556314
Point19,-2.659687,17.000092,5.637236
Point20,-2.532161,10.542721,5.146011
Point21,-2.40495,4.085604,5.920267
Point22,-2.27749,-2.371511,5.970764
Point23,-2.150939,-8.786704,4.22756
Point24,-2.125094,-13.071788,3.341712
Point25,-2.126193,-12.892698,0.276496
Point26,-2.150954,-8.786687,-0.662542
Point27,-2.277335,-2.372667,-1.234645
Point28,-2.40484,4.084323,-1.456988
Point29,-2.532245,10.541392,-2.091592
Point30,-2.659608,16.998914,-0.07624
Point31,4.727139,-9.032612,3.734655
Point32,-8.762264,-8.550341,4.459982
Point33,-9.428816,-8.526515,-0.789378
Point34,4.620719,-9.028811,-0.851347
