Name,Position X,Position Y,Position Z
Point01,0.465461,34.955113,0.006792
Point02,-9.869484,-34.618905,0.270685
Point03,13.428778,-31.749786,0.26581
Point04,-10.349943,-13.265818,-0.544313
Point05,13.091641,-16.488069,0.043839
Point06,1.800023,-29.50831,-0.146657
Point07,-3.365738,24.91559,-0.267505
Point08,-5.691681,14.897617,0.58218
Point09,-7.45568,4.895073,0.420028
Point10,-8.689655,-5.097585,0.208372
Point11,-10.131256,-22.522038,-0.185978
Point12,-4.461864,-31.82488,0.366132
Point13,8.170805,-31.387416,-0.412728
Point14,13.286323,-21.829916,0.552355
Point15,11.114404,-4.728685,-1.552744
Point16,10.393512,5.228158,-1.283413
Point17,8.23005,15.162361,-1.70603
Point18,5.853872,25.092303,-2.052056
Point19,0.646224,25.002484,-3.065163
Point20,0.827309,15.039776,-4.016077
Point21,1.008439,5.070359,-3.744883
Point22,1.189621,-4.897702,-3.744356
Point23,1.370857,-14.876949,-3.28528
Point24,1.585475,-22.193737,-2.356291
Point25,1.584541,-22.162279,2.090995
Point26,1.370816,-14.876922,2.971293
Point27,1.190366,-4.935697,3.516371
Point28,1.009145,5.033363,3.426482
Point29,0.827893,15.00468,2.816684
Point30,0.646727,24.977994,1.7677
Point31,-4.831751,-14.024349,-3.475588
Point32,7.554322,-15.726922,-2.493345
Point33,7.383484,-15.703428,2.027854
Point34,-4.862287,-14.020138,2.230377
