Name,Position X,Position Y,Position Z
Point01,-1.792542,20.917493,1.214534
Point02,-13.743519,-16.997213,1.164924
Point03,10.785272,-16.676427,1.71313
Point04,-13.368169,-1.082857,1.157069
Point05,9.777706,-0.274341,2.097921
Point06,-1.474979,-12.455018,2.320949
Point07,-6.195867,16.615893,1.342293
Point08,-9.20409,12.299375,0.693501
Point09,-11.387492,7.999184,0.920908
Point10,-12.713969,3.70202,1.294526
Point11,-13.085009,-6.943454,1.2602
Point12,-7.82816,-15.657627,2.317475
Point13,4.705416,-15.246592,1.555601
Point14,9.747292,-6.275594,2.057516
Point15,8.883002,3.713495,2.035301
Point16,7.429842,8.015039,1.877246
Point17,5.184811,12.313369,1.518096
Point18,2.392638,16.628304,1.545147
Point19,-1.793085,16.58969,0.000575
Point20,-1.79378,12.270642,-0.731016
Point21,-1.794303,7.948863,-1.650945
Point22,-1.794811,3.644807,-1.622641
Point23,-1.795228,-0.678627,-1.568549
Point24,-1.630528,-6.73352,-0.463294
Point25,-1.638506,-6.441569,4.499329
Point26,-1.795222,-0.678589,4.239992
Point27,-1.794578,3.751508,3.946642
Point28,-1.794148,8.058004,4.052071
Point29,-1.793592,12.351825,3.490526
Point30,-1.793213,16.638368,2.55579
Point31,-7.80559,-0.888548,-0.906955
Point32,4.402549,-0.462102,-0.720579
Point33,4.176517,-0.469998,4.11228
Point34,-7.979703,-0.894631,3.712496
