Name,Position X,Position Y,Position Z
Point01,2.781656,39.581843,3.303537
Point02,-16.975208,-33.412635,3.716065
Point03,18.57284,-33.299681,3.06519
Point04,-14.547365,-16.210515,3.585043
Point05,15.817127,-17.945455,3.429517
Point06,0.799972,-32.422383,3.069037
Point07,-2.200364,28.419179,2.182744
Point08,-5.591339,17.199952,2.096742
Point09,-6.247844,5.883478,3.778774
Point10,-9.121193,-5.358951,2.694363
Point11,-14.291454,-24.929707,3.013076
Point12,-8.227296,-34.988066,2.914171
Point13,9.888666,-35.018757,3.14322
Point14,15.343858,-24.623504,3.455814
Point15,11.308006,-6.131147,3.206857
Point16,8.368663,5.328445,3.436544
Point17,6.13557,16.760061,3.328162
Point18,4.523823,28.169154,3.502703
Point19,2.351853,28.241747,0.805126
Point20,1.922706,16.908525,0.20925
Point21,1.493255,5.577258,0.185468
Point22,1.063535,-5.754458,-0.136893
Point23,0.634866,-17.077979,-0.937158
Point24,0.716976,-24.693862,0.403158
Point25,0.718307,-24.831871,5.241992
Point26,0.634889,-17.077993,5.909433
Point27,1.064767,-5.732606,6.111418
Point28,1.494006,5.596569,5.560897
Point29,1.923278,16.927928,5.63357
Point30,2.352819,28.25595,4.750503
Point31,-7.504041,-16.612946,-0.076767
Point32,8.657575,-17.536374,-0.132817
Point33,8.474803,-17.525939,5.853943
Point34,-7.236905,-16.628217,5.995682
